feature,mean_abs_shap
cc_nearsyncope,0.0004135462806887373
cc_armswelling,0.00037055027681952556
triage_vital_dbp_missing_flag,0.00036361256594756076
cc_panicattack,0.0003622167542981483
cc_rectalbleeding,0.00035465334869764364
triage_vital_o2_missing_flag,0.00035457742181872406
cc_detoxevaluation,0.00034603691862970527
cc_bleeding_bruising,0.0003445826546661591
cc_cellulitis,0.00033750390258112167
cc_ribinjury,0.00031589297828835453
cc_thumbinjury,0.0002936640760980922
cc_confusion,0.00028974443815534543
cc_addictionproblem,0.00026539638433979344
cc_facialswelling,0.000235782661978295
cc_sicklecellpain,0.00021375576570109342
cc_jointswelling,0.0002136534146393472
cc_bodyfluidexposure,0.0001977264936061186
cc_jawpain,0.00018992335556946446
cc_chills,0.00018205969632451176
cc_faciallaceration,0.00016603235451217977
abnormal_hr_flag,0.00016280774375992057
cc_swallowedforeignbody,0.00014759670937164422
cc_drug_alcoholassessment,0.0001440352695097235
cc_headlaceration,0.00014154687756331516
cc_alcoholproblem,0.00013838315727080899
cc_arminjury,0.0001295992516709004
cc_breastpain,0.00012682719142542188
cc_facialinjury,0.0001059012473939907
cc_eyeinjury,0.00010003149821089243
cc_leginjury,9.711376373352254e-05
low_o2_flag,7.924458845800718e-05
cc_agitation,7.409768351168148e-05
cc_oralswelling,4.7071670947523706e-05
cc_pain,3.91006840549326e-05
cc_alteredmentalstatus,3.18111184895805e-05
cc_influenza,3.001496739492712e-05
cc_fever,1.4829482582898953e-05
fever_flag,8.93166054970376e-06
cc_withdrawal_alcohol,0.0
cc_extremityweakness,0.0
cc_hyperglycemia,0.0
cc_feverimmunocompromised,0.0
cc_cardiacarrest,0.0
cc_fulltrauma,0.0
cc_hallucinations,0.0
low_sbp_flag,0.0
cc_homicidal,0.0
cc_seizures,0.0
cc_ingestion,0.0
cc_seizure_newonset,0.0
cc_trauma,0.0
arrivalmode_Police,0.0
cc_modifiedtrauma,0.0
cc_overdose_accidental,0.0
cc_overdose_intentional,0.0
cc_poisoning,0.0
high_rr_flag,0.0
cc_psychoticsymptoms,0.0
cc_strokealert,0.0
cc_respiratorydistress,0.0
cc_unresponsive,0.0
